Ticker,Logo,Company,Prime Standard Sector,Index weighting (%)1,Employees,Founded
ADS.DE,,Adidas,Apparel,2.5,"062,035 (2024)",1924
AIR.PA,,Airbus,Aerospace & Defence,6.1,"126,495 (2021)",1970
ALV.DE,,Allianz,Financial Services,8.4,"156,626 (2024)",1890
BAS.DE,,BASF,Chemicals,2.8,"111,822 (2024)",1865
BAYN.DE,,Bayer,Pharmaceuticals,1.5,"094,081 (2024)",1863
BEI.DE,,Beiersdorf,Consumer goods,0.7,"022,678 (2024)",1882
BMW.DE,,BMW,Automotive,1.5,"159,104 (2024)",1916
BNR.DE,,Brenntag,Distribution,0.5,"018,122 (2024)",1874
CBK.DE,,Commerzbank,Financial Services,1.5,"040,233 (2024)",1870
CON.DE,,Continental,Automotive,0.5,"190,875 (2021)",1871
DTG.DE,,Daimler Truck,Automotive,1.3,"099,849 (2021)",2021
DBK.DE,,Deutsche Bank,Financial Services,2.8,"082,969 (2021)",1870
DB1.DE,,Deutsche Börse,Financial Services,3.1,"010,200 (2021)",1992
DHL.DE,,Deutsche Post,Logistics,2.5,"482,638 (2024)",1995
DTE.DE,,Deutsche Telekom,Telecommunication,7.5,"204,414 (2024)",1995
EOAN.DE,,E.ON,Utilities,1.8,"072,242 (2024)",2000
FRE.DE,,Fresenius,Healthcare,1.0,"316,078 (2021)",1912
FME.DE,,Fresenius Medical Care,Healthcare,0.6,"130,251 (2021)",1996
G1A.DE,,GEA Group,Mechanical Engineering,TBD,"018,500 (2024)",1881
HNR1.DE,,Hannover Re,Insurance,1.0,"003,346 (2021)",1966
HEI.DE,,Heidelberg Materials,Construction Materials,1.5,"051,209 (2021)",1874
HEN3.DE,,Henkel,Consumer Goods,0.8,"052,450 (2021)",1876
IFX.DE,,Infineon Technologies,Technology,2.7,"050,280 (2021)",1999
MBG.DE,,Mercedes-Benz Group,Automotive,2.5,"175,000 (2024)",1926
MRK.DE,,Merck,Pharmaceuticals,1.1,"0062,557 (2024)",1668
MTX.DE,,MTU Aero Engines,Aerospace & Defence,1.1,"010,833 (2022)",1934
MUV2.DE,,Munich Re,Financial Services,4.8,"040,177 (2022)",1880
PAH3.DE,,Porsche SE,Automotive,0.4,000882 (2021),2007
QIA.DE,,Qiagen,Biotech,0.5,"005,765 (2024)",1984
RHM.DE,,Rheinmetall,Aerospace & Defence,3.5,"028,539 (2024)",1889
RWE.DE,,RWE,Utilities,1.3,"018,246 (2021)",1898
SAP.DE,,SAP,Technology,14.0,"109,972 (2024)",1972
G24.DE,,Scout24,E-Commerce,TBD,"001,200 (2024)",2012
SIE.DE,,Siemens,Industrials,10.7,"327,000 (2024)",1847
ENR.DE,,Siemens Energy,Energy technology,2.5,"092,000 (2021)",2020
SHL.DE,,Siemens Healthineers,Medical Equipment,0.9,"066,000 (2021)",2020
SY1.DE,,Symrise,Chemicals,0.7,"011,276 (2021)",2003
VOW3.DE,,Volkswagen Group,Automotive,1.3,"679,472 (2024)",1937
VNA.DE,,Vonovia,Real Estate,1.1,"015,900 (2022)",2001
ZAL.DE,,Zalando,E-Commerce,0.5,"017,000 (2021)",2008
