Logo,Name,Industry,Index weighting,Number of Shares[6],Free-float-  in Mio. €,Location,Symbol
,Aixtron,Semiconductor industry,298.0,0113.402.370,"4.325,62",Herzogenrath,AIXA
,Aroundtown,Real estate,1.49,1536397797,2061.72,Luxemburg,AT1
,Aurubis,Metals,159.0,0044.956.723,"2.307,09",Hamburg,NDA
,Bechtle,IT services,257.0,0126.000.000,"3.741,68",Neckarsulm,BC8
,Befesa,Waste management,1.11,,1530.47,Ratingen,BFSA
,Bilfinger,,,,,Mannheim,GBF
,Carl Zeiss Meditec,Medical technology,245.0,0089.440.570,"3.555,14",Jena,AFX
,CTS Eventim,Leisure-events,256.0,0096.000.000,"3.713,64",München,EVD
,Delivery Hero,Delivery service,423.0,0269.536.421,"6.136,97",Berlin,DHER
,Lufthansa,Airlines,569.0,1.195.485.644,"8.267,54",Köln,LHA
,Encavis,Renewable energy,123.0,0161.030.176,"1.787,32",Hamburg,ECV
,Evonik,Chemistry,254.0,0466.000.000,"3.695,85",Essen,EVK
,Evotec,Biotechnology,209.0,0177.185.736,"3.044,43",Hamburg,EVT
,Fraport,Airport operator,141.0,0092.468.704,"2.056,62",Frankfurt am Main,FRA
,Freenet,Telecommunications,207.0,0118.900.598,"3.005,81",Büdelsdorf,FNTN
,Fresenius Medical Care,Medical technology,526.0,0293.413.449,"7.630,52",Hof (Saale),FRE
,Fuchs Petrolub,Chemistry,184.0,0069.500.000,"2.671,54",Mannheim,FPE3
,GEA Group,Machinery,351.0,0180.492.172,"5.098,68",Düsseldorf,G1A
,Gerresheimer,Packaging,199.0,0034.540.000,"2.900,31",Düsseldorf,GXI
,Hella,Automotive,117.0,0111.111.112,"1.697,81",Lippstadt,HLE
,HelloFresh,Meal kit,167.0,0172.734.665,"2.427,88",Berlin,HFG
,Hensoldt,Defence,85.0,0105.000.000,"1.246,59",Taufkirchen (bei München),HAG
,Hochtief,Construction,153.0,0077.711.300,"2.224,49",Essen,HOT
,Hugo Boss,"Clothing, Accessories",275.0,0070.400.000,"3.997,45",Metzingen,BOSS
,Jenoptik,,98.0,0057.238.115,"1.427,39",Jena,JEN
,Jungheinrich,"Intralogistics, Mechanical engineering",110.0,0048.000.000,"1.603,20",Hamburg,JUN3
,K+S,Mining (fertilizer and salt),179.0,0191.400.000,"2.599,89",Kassel,SDF
,KION Group,Handling equipment,187.0,0131.198.647,"2.714,83",Frankfurt am Main,KGX
,Knorr-Bremse,Manufacturing,263.0,0161.200.000,"3.825,02",München,KBX
,Krones,,,,,Neutraubling,KRN
,Lanxess,Chemistry,159.0,0086.346.303,"2.316,05",Köln,LXS
,LEG Immobilien,Real estate,396.0,0074.109.276,"5.755,33",Düsseldorf,LEG
,Nemetschek,Software,308.0,0115.500.000,"4.481,19",München,NEM
,Nordex,,87.0,0236.450.364,"1.265,21",Hamburg,NDX1
,Puma,Sports equipment,367.0,0150.824.640,"5.325,69",Herzogenaurach,PUM
,Rational,Manufacturing,2.03,011370000,2814.89,Landsberg am Lech,RAA
,Redcare Pharmacy,Pharmacy,153.0,0020.203.286,"2.223,39",Venlo (Niederlande),RDC
,RTL Group,Media,86.0,0154.742.806,"1.247,97",Luxemburg (Luxemburg),RRTL
,Scout24,Online-market,315.0,0075.000.000,"4.570,77",München,G24
,Siltronic,Semiconductor industry,,,,München,WAF
,Stabilus,Automotive,1.11,,1535.11,Koblenz,STM
,Ströer,Media,115.0,0056.691.571,"1.669,59",Köln,SAX
,TAG Tegernsee Immobilien und Beteiligung,Real estate,155.0,0175.489.025,"2.262,05",Hamburg,TEG
,Talanx,Real Estate,245.0,0253.350.943,"3.556,99",Hannover,TLX
,TeamViewer,Software,126.0,0180.000.000,"1.829,63",Göppingen,TMV
,ThyssenKrupp,Conglomerate,213.0,0622.531.741,"3.102,07",Essen and Duisburg,TKA
,Traton,,,,,München,8TRA
,TUI,Tourism,,,,"Berlin, Hannover",TUI1
,United Internet,Telecommunications,107.0,0192.000.000,"1.553,43",Montabaur,UTDI
,Wacker Chemie,Chemistry,136.0,0052.152.600,"1.983,73",München,WCH
