Symbol,Company,Sector
AEM,Agnico Eagle Mines Limited,Basic Materials
ATD,Alimentation Couche-Tard Inc.,Consumer Cyclical
BMO,Bank of Montreal,Financial Services
BNS,Bank of Nova Scotia,Financial Services
ABX,Barrick Mining Corporation,Basic Materials
BCE,BCE Inc.,Communication Services
BAM,Brookfield Asset Management Ltd.,Financial Services
BN,Brookfield Corporation,Financial Services
BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities
CAE,CAE Inc.,Industrials
CCO,Cameco Corporation,Energy
CM,Canadian Imperial Bank of Commerce,Financial Services
CNR,Canadian National Railway Company,Industrials
CNQ,Canadian Natural Resources Limited,Energy
CP,Canadian Pacific Kansas City Limited,Industrials
CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical
CCL.B,CCL Industries Inc.,Consumer Cyclical
CLS,Celestica Inc.,Information Technology
CVE,Cenovus Energy Inc.,Energy
GIB.A,CGI Inc.,Information Technology
CSU,Constellation Software Inc.,Information Technology
DOL,Dollarama Inc.,Consumer Staples
EMA,Emera Incorporated,Utilities
ENB,Enbridge Inc.,Energy
FFH,Fairfax Financial Holdings Limited,Financial Services
FM,First Quantum Minerals Ltd.,Basic Materials
FSV,FirstService Corporation,Real Estate
FTS,Fortis Inc.,Utilities
FNV,Franco-Nevada Corporation,Basic Materials
WN,George Weston Limited,Consumer Staples
GIL,Gildan Activewear Inc.,Consumer Cyclical
H,Hydro One Limited,Utilities
IMO,Imperial Oil Limited,Energy
IFC,Intact Financial Corporation,Financial Services
K,Kinross Gold Corporation,Basic Materials
L,Loblaw Companies Limited,Consumer Staples
MG,Magna International Inc.,Consumer Cyclical
MFC,Manulife Financial Corporation,Financial Services
MRU,Metro Inc.,Consumer Staples
,National Bank of Canada,Financial Services
NTR,Nutrien Ltd.,Basic Materials
OTEX,Open Text Corporation,Information Technology
PPL,Pembina Pipeline Corporation,Energy
POW,Power Corporation of Canada,Financial Services
QSR,Restaurant Brands International Inc.,Consumer Cyclical
RCI.B,Rogers Communications Inc.,Communication Services
RY,Royal Bank of Canada,Financial Services
SAP,Saputo Inc.,Consumer Staples
SHOP,Shopify Inc.,Information Technology
SLF,Sun Life Financial Inc.,Financial Services
SU,Suncor Energy Inc.,Energy
TRP,TC Energy Corporation,Energy
TECK.B,Teck Resources Limited,Basic Materials
T,Telus Corporation,Communication Services
TRI,Thomson Reuters Corporation,Industrials
TD,Toronto-Dominion Bank,Financial Services
TOU,Tourmaline Oil Corp.,Energy
WCN,Waste Connections Inc.,Industrials
WPM,Wheaton Precious Metals Corp.,Basic Materials
WSP,WSP Global Inc.,Industrials
